,sentiment
9162,2
17706,1
14708,2
7607,2
22182,2
19956,2
8036,2
9894,2
3087,2
5649,1
19262,1
8242,1
6450,2
9792,2
24357,2
15197,2
11169,2
6238,2
15479,1
19517,1
22834,1
20691,1
7253,2
10753,2
17488,1
18566,1
10158,2
7444,2
20872,1
18834,2
11583,1
1299,1
15728,2
23497,2
23472,2
24310,2
16136,1
19806,2
3820,2
10021,1
9910,1
1744,2
7441,1
4416,1
14623,2
18512,2
5661,1
2420,2
24450,2
17481,2
1665,2
20876,1
16965,2
23409,1
8282,2
20889,2
364,1
5400,2
21928,2
10013,2
4507,1
24367,1
15544,2
6784,2
11092,1
10656,1
8765,1
7471,2
2774,1
16778,1
10272,1
17367,1
19110,2
16037,2
20139,1
7851,1
7141,1
11778,2
2972,1
15535,1
374,1
12459,2
23855,2
5111,1
14459,1
10605,1
10141,2
13939,1
13931,1
3692,2
23610,1
6120,1
4269,2
14707,2
16978,2
12117,2
5085,1
3965,1
5048,1
6121,2
2053,2
2419,2
15775,2
16158,2
7352,1
4493,1
22975,2
14687,2
10683,1
10326,1
18300,2
16005,2
9426,1
7946,2
14326,1
24131,1
28,2
24482,2
23984,2
15060,1
20878,1
9430,2
15783,1
1136,2
4130,2
10698,1
22178,2
16255,1
11270,1
1662,1
13402,1
7365,2
18405,1
11430,2
21487,2
2401,2
15708,2
1228,1
6429,2
19258,1
8106,2
4331,2
1458,1
7422,1
18598,2
4690,2
15571,2
22141,2
5790,1
18483,1
13053,1
18257,2
20061,1
9074,2
7942,2
4336,2
9729,2
19957,2
123,1
17499,1
5492,2
18317,1
17338,2
3044,2
12674,1
6066,1
6599,1
21091,2
17048,2
21030,2
22678,1
20512,2
14788,1
2736,1
8384,2
4471,2
14179,2
6079,2
4840,2
22344,2
6545,1
13896,2
5050,2
12014,1
24279,1
4294,1
6932,1
7794,1
13109,1
14280,1
12383,2
23260,2
5323,1
3386,2
24222,1
21746,2
23471,1
10944,2
4437,2
3424,1
9491,1
8921,2
19988,1
23287,2
4496,1
18262,2
8442,2
7701,2
4358,1
24285,1
35,2
6765,1
13666,2
20632,2
5994,1
15811,2
10579,2
334,1
3780,1
10313,1
6950,1
18096,1
9710,2
12378,2
3659,1
9013,2
2030,1
6639,1
11935,2
23516,2
15619,1
894,1
13779,1
4197,1
22191,2
7030,1
6004,2
22887,2
13440,1
11458,2
16491,1
4301,1
17857,2
8817,2
19313,1
1291,2
7768,2
2754,1
19476,2
12156,2
22151,1
12198,2
23840,2
14794,2
1009,2
12916,2
15951,2
15252,2
2923,2
20415,2
924,1
7487,2
418,2
338,1
19504,1
16775,1
18862,2
11820,1
540,2
2384,2
1993,1
12186,1
14525,1
17352,2
3565,2
3699,2
3310,1
8615,2
14392,1
4979,1
15469,1
13209,1
9028,1
14749,1
2561,1
9880,2
7677,1
7759,1
16669,2
19211,2
17024,2
22355,2
20904,1
24198,2
14695,2
2491,1
7666,1
18036,1
18065,2
8422,2
24608,2
12545,2
13513,2
21935,1
14754,2
10297,1
4218,1
16119,1
24718,2
24531,1
2185,1
14239,2
17079,1
11553,1
7589,2
4523,1
2421,1
19510,1
2310,2
17798,1
3708,2
7986,1
8560,1
9196,2
10201,1
2224,2
3344,1
3836,2
3309,1
8851,2
968,2
3753,2
1902,1
18953,1
19612,2
8784,1
3054,1
3587,2
17328,2
8277,2
6738,1
7217,1
15841,2
20252,1
14524,1
11833,2
21431,1
13054,1
129,1
13187,1
2871,1
19015,1
5084,2
23638,2
14970,2
1697,2
18561,2
16600,1
1586,1
7898,1
2838,2
24180,2
8785,2
7574,1
8699,1
21963,2
24407,2
20074,2
23163,1
2266,1
20707,2
4349,1
10493,1
22509,2
10242,2
12951,2
4158,2
19273,1
20417,1
5681,1
11055,1
12919,2
628,2
13143,2
15605,2
3767,2
20182,2
7753,1
23572,2
23420,2
2521,1
24041,1
4538,2
13390,2
9623,2
23845,1
13392,1
8024,2
13413,1
10496,2
12581,1
1197,1
17717,2
23771,2
24045,1
18846,2
5416,2
20808,1
8343,2
19157,2
2143,2
230,1
3932,2
18328,2
15986,1
18674,2
299,2
20678,1
14153,1
21063,1
6257,1
7014,1
19427,1
3133,1
24555,1
6883,2
12830,2
8747,1
23057,1
17054,2
14816,1
5449,1
13763,1
18755,2
1240,1
5021,1
11375,1
23581,1
17574,1
10517,1
22957,2
10729,1
11923,1
22576,1
8175,1
12323,2
13283,1
16678,2
14768,1
11041,2
15917,2
18576,2
3961,2
18979,2
1544,2
17737,1
7685,1
19536,1
7088,2
6256,1
7465,1
1837,2
4919,2
14338,1
22109,1
16023,2
14986,2
22878,1
10264,1
7972,2
19223,1
15832,2
3535,1
11197,2
2368,1
2200,2
18741,1
23315,2
13458,2
803,1
20383,2
839,1
14202,1
18391,2
18964,1
8586,2
21625,1
21045,2
4669,1
6011,2
7463,2
17478,1
1313,1
22332,1
13852,1
5093,2
21777,1
2606,1
11841,1
18609,1
10512,2
10876,1
9762,2
2498,2
20579,1
15242,2
20829,1
2522,1
16640,1
19485,2
14449,1
9487,2
22772,2
20638,2
20161,2
20665,2
19212,2
3559,2
8550,2
23995,1
21612,1
23296,2
14700,1
14077,1
15993,2
11106,1
22090,2
24270,2
1341,1
14286,1
15864,2
24369,1
22464,2
11096,2
17713,1
10980,2
4797,2
12967,2
20546,2
23370,2
14789,1
13649,2
5180,1
384,1
11049,2
12380,2
22114,2
14921,1
19368,1
4699,2
13396,2
11842,2
16765,1
12533,1
19701,1
11585,1
9280,2
44,1
15511,1
1674,2
16718,1
24477,1
16722,1
1160,2
12104,1
8875,2
22382,1
24267,1
15461,1
18382,2
5285,2
7774,2
2735,1
20835,1
9179,2
11745,2
19126,2
18299,1
21652,1
4869,2
14690,1
21287,1
23407,2
16701,2
11634,2
12718,2
3910,1
21351,2
21618,2
6065,1
21670,2
14123,2
1690,2
17679,2
15436,2
2540,2
16845,2
17615,2
20964,1
18304,1
10299,1
15343,2
22662,1
13570,1
6055,1
3972,2
20498,2
19142,2
12246,2
23373,2
8470,2
23192,2
19109,2
15195,1
3606,1
2529,1
5038,1
5072,1
20376,2
22829,2
16410,2
13045,2
16506,1
12806,2
17326,2
10761,2
4856,2
3660,2
5801,2
17076,2
6753,2
17309,1
6669,1
2068,1
15231,1
3034,1
7143,1
23977,2
21157,2
19717,2
17999,2
9607,1
12852,1
8151,1
9727,2
6000,1
2122,1
10412,1
5272,2
20060,1
20423,1
21484,2
2253,2
2614,2
8426,2
12057,1
17207,2
2855,2
24620,1
11463,2
16695,2
8691,2
16420,2
11502,2
12585,1
3528,1
18268,1
20297,2
13644,1
16393,2
13380,1
3453,2
6575,1
8226,2
17179,1
10850,2
234,1
14585,2
21075,2
4811,1
7870,2
4482,2
15177,2
18436,1
23081,2
5207,2
2717,1
4086,1
15301,1
10657,2
3092,1
1054,2
2397,2
15848,1
22842,2
2337,1
7561,2
8991,1
11817,1
20426,1
16824,1
7017,1
24264,2
10090,2
22395,2
15496,2
18482,2
13991,1
695,1
22385,2
23501,2
22208,2
10394,1
12296,1
15093,2
12652,2
22148,2
24442,1
19152,2
13034,1
19615,2
16063,2
20441,1
15734,1
10894,1
12108,2
19580,1
8768,1
24607,2
8795,2
21581,2
24514,2
6229,2
2553,1
3764,1
16909,1
10616,1
21281,1
13494,1
18878,1
127,2
19905,1
20575,2
4247,1
6293,1
21197,1
4778,1
14519,1
564,2
23593,1
11572,2
13258,1
4567,1
5952,1
9366,1
21132,2
8909,2
22793,2
18498,1
3540,1
2279,2
23706,2
1502,2
14617,1
4894,2
12986,1
13353,1
1282,2
7884,2
9660,2
5894,2
8754,2
13778,1
11058,2
14038,2
10953,2
10742,1
4046,1
7859,1
11052,1
23863,1
16205,2
2788,2
22451,1
10469,2
10679,1
437,1
17879,2
2486,2
5974,1
16879,1
18379,1
18780,1
13016,1
22536,2
16710,1
11740,2
22011,2
7520,2
21841,1
1188,2
14117,1
19166,2
19874,2
2811,2
17558,2
3976,2
7879,2
18690,1
6731,1
6406,1
14375,2
23016,2
15764,2
12265,2
1664,2
16477,2
8579,2
24384,2
22078,2
23215,1
18883,1
13548,2
18983,2
2673,2
18766,1
8371,2
5626,1
3778,2
10661,1
7447,1
3282,2
19425,1
8724,1
13327,2
23988,1
737,2
18957,1
14050,1
22651,1
15431,2
7604,1
9882,1
3876,2
11051,2
20772,1
19981,2
15942,2
10483,1
14619,2
24101,2
6993,1
21548,1
9202,2
2688,1
7272,1
15204,2
2286,2
16878,1
12844,1
1296,1
17848,2
5025,1
1398,1
18762,1
16755,1
19440,1
4685,2
15332,1
10039,2
6379,1
22550,2
11279,1
7977,2
4770,1
17727,2
24296,2
19111,1
16532,1
11184,2
16603,1
14272,1
15111,2
13171,1
22693,2
24667,2
21053,2
19186,1
19550,1
11244,2
9816,1
7228,1
17090,2
4568,1
13172,2
23883,2
12038,2
12980,1
14334,2
6726,2
12688,1
1103,2
2496,1
5486,1
2920,2
8621,2
9757,1
23582,2
9042,2
15473,2
20049,2
15792,1
12326,1
18841,1
1946,2
23991,1
16875,2
11981,2
16478,1
12259,1
18785,1
6175,1
24053,2
12870,1
15484,1
22446,2
12472,1
7566,1
3408,2
4414,1
20027,1
22103,2
3598,2
4996,2
5208,2
22059,2
20689,2
17960,2
13123,1
2939,1
2354,1
7796,2
12247,1
6,1
17600,1
14360,2
7043,2
11889,1
5135,1
1090,2
21107,1
12669,2
13463,1
11641,2
19397,2
21232,1
19431,2
5461,1
9260,1
7411,1
2783,1
2284,2
15232,1
4194,2
9865,1
8028,1
13495,2
989,2
16225,2
6353,2
20762,1
2081,2
5889,1
3739,1
2898,2
16863,2
9698,2
19253,2
17220,2
2971,2
19098,2
16673,2
6259,1
11122,1
9269,1
2309,1
1387,2
3697,2
20343,1
24421,2
5691,2
9980,2
12785,2
24512,2
5186,1
7254,1
14000,1
21508,2
20412,1
16803,2
22428,2
9951,2
14716,1
18688,2
8794,1
8533,2
21597,1
9947,1
12960,2
12573,1
24689,1
6657,2
15248,2
11654,1
22386,2
16539,1
4181,1
17891,1
14083,2
3571,2
1917,1
22921,2
4295,1
1821,2
5876,2
15312,2
14924,1
21661,1
24569,2
1750,2
18508,2
22434,1
12216,2
21086,2
8325,2
14829,2
17850,1
21518,1
7305,2
22862,1
2359,2
18922,1
18223,2
10450,1
15515,1
6480,2
23278,2
6161,2
20656,2
11365,1
18779,2
19267,2
13010,1
983,2
7117,2
23522,1
5342,2
12023,2
19986,1
14391,2
879,1
14098,1
24366,1
13046,2
20883,1
16862,1
7056,1
14552,2
12553,2
20305,1
22397,1
2799,2
12766,2
23772,1
12402,2
20520,2
14498,2
16054,2
11783,1
17815,1
23728,1
12128,1
20469,2
15097,1
8136,1
23079,2
4142,1
201,2
7615,2
4518,1
14429,1
18701,1
15749,1
23805,1
8102,1
14319,2
14026,1
3144,2
5751,1
7398,1
20035,2
7559,1
326,2
9944,1
3709,2
13518,1
9036,2
9124,1
7044,2
754,2
16538,2
10133,2
23996,2
3261,1
21610,2
16952,1
21702,2
15007,2
6196,1
7222,2
16097,2
4000,2
23565,1
8216,1
13974,2
6224,2
19135,2
19530,1
1143,2
14959,1
8755,2
20289,1
14010,2
2756,1
836,1
24141,1
24235,2
12073,1
4921,1
20224,1
21453,2
14654,2
3651,1
14194,1
621,2
7974,1
24,2
20005,1
12352,1
8806,2
23255,2
17287,1
17403,1
5083,2
5076,2
21332,1
14627,1
1475,1
9409,2
18234,2
5361,2
15029,1
1193,1
252,1
2367,2
2410,2
10700,2
14949,1
11063,2
5852,2
7366,1
3882,2
20888,1
3059,2
19885,1
18594,2
9740,2
3300,2
7940,2
5907,2
21860,1
14812,1
3295,2
24727,1
20420,2
10344,1
23577,2
20314,2
11434,2
4156,1
532,1
10667,2
22592,1
13385,2
8733,2
14033,2
21900,2
2080,1
6236,1
21794,1
5658,2
9881,1
14451,2
12590,1
15939,2
21589,2
23951,1
13598,2
10906,2
17696,2
14048,2
20671,2
4562,1
111,1
3084,2
16228,2
3222,2
12432,1
5033,1
5919,2
5341,1
7628,1
9399,2
17972,1
4890,1
18840,2
17986,1
9891,2
11119,2
1490,2
19927,2
24405,1
19775,2
19475,2
11274,1
7956,2
22675,1
12037,1
22381,2
4947,2
13178,2
4216,1
24320,1
14599,2
4946,1
5698,2
10740,1
15564,2
22820,2
19606,2
10100,2
14078,2
2225,1
5051,1
14752,1
3305,2
19720,2
14697,2
12529,1
11156,2
24192,1
21599,2
20216,1
2863,1
19400,1
3213,2
7681,1
1220,2
24142,1
18550,2
8740,1
22302,2
20928,1
19566,1
6304,1
9581,1
702,1
6301,2
17,1
19780,1
11424,1
5705,2
16244,2
1315,2
19688,1
2552,1
10384,1
7034,1
1707,1
9365,2
15719,2
21925,1
11129,1
2712,2
6956,2
17866,2
21733,2
5176,2
16870,2
10328,2
15724,1
7274,1
6607,1
4339,2
65,2
17911,1
3321,2
17736,1
20759,1
10145,1
7575,2
15024,1
18917,1
15168,2
3155,2
14279,1
18950,2
20698,2
14014,2
14907,1
15943,1
11915,1
22147,1
3069,2
20046,2
19183,2
21898,1
1318,2
10392,2
6754,2
5373,1
18054,1
16658,2
17383,2
14062,2
24738,1
24465,1
12051,1
13674,2
3506,1
114,2
21135,1
21578,2
14950,2
7205,1
13781,1
3879,1
2715,1
11944,1
13161,1
2375,2
22527,2
3772,1
18744,2
21352,2
9389,2
8407,1
5516,2
98,2
3951,2
18660,2
4586,2
8131,1
11510,2
5521,2
2705,1
20821,2
20814,2
11964,2
8187,1
5604,1
7953,2
9804,1
6210,1
19856,2
9921,2
12405,2
14122,1
19519,1
9879,2
16344,2
5906,2
6042,1
8060,1
18926,1
17046,1
24143,2
5071,2
24793,1
5724,1
11626,1
14844,2
2207,2
23293,1
18043,1
22418,2
11454,2
21812,2
20866,2
14973,1
22979,2
23231,2
6938,2
23813,2
17561,1
7564,2
5651,1
10348,2
12523,1
1003,2
14409,2
